alpha,delta,A_alpha,B_alpha,C_alpha
1.25,1.3006344443923628e-05,84.80960023622237,2731269.3311001463,72.1225144881906
1.25,1.414767033672739e-05,82.961594664896,2458682.2932621734,70.538509712768
1.25,1.538914925863175e-05,81.15204354649552,2213300.0684345267,68.98746589699616
1.25,1.673956978553886e-05,79.38014669677217,1992407.553739256,67.46869716866186
1.25,1.820849170383826e-05,77.64512058221034,1793560.61980722,65.98153192760886
1.25,1.9806313685263796e-05,75.94619797354851,1614559.0669989705,64.52531254875586
1.25,2.1544346900318823e-05,74.28262760651039,1453422.2806569852,63.09939509129461
1.25,2.3434895091387883e-05,72.65367384959553,1308367.3160196885,61.703149013939026
1.25,2.549134167238217e-05,71.05861637878272,1177789.1703114132,60.335956896099475
1.25,2.7728244471507223e-05,69.4967498590023,1060243.0237231432,58.99721416485912
1.25,3.016143878784795e-05,67.96738363223686,954428.2527842133,57.6863288276316
1.25,3.280814949132081e-05,66.46984141211196,859174.039236261,56.40272121038168
1.25,3.568711295956224e-05,65.00346098484198,773426.4151746333,55.145823701293125
1.25,3.8818709714958786e-05,63.56759391639888,696236.60111446,53.91508049977046
1.25,4.222510870077182e-05,62.16160526577441,626750.5079445553,52.70994737066378
1.25,4.5930424217704824e-05,60.78487330420906,564199.2866104468,51.529891403607756
1.25,4.9960886631885935e-05,59.43678924026323,507890.82096075965,50.37439077736848
1.25,5.434502806272774e-05,58.11675695060939,457202.0696270882,49.242934529093766
1.25,5.9113884365169984e-05,56.82419271642615,411572.17220186646,48.13502232836527
1.25,6.430121483616162e-05,55.558524965277535,370496.24343553465,47.05016425595217
1.25,6.994374120071093e-05,54.319194018363525,333519.7867870891,45.98788058716873
1.25,7.608140756931394e-05,53.10565184302963,300233.6655151315,44.94770157973968
1.25,8.275766320702957e-05,51.917361810426804,270269.5756655956,43.92916726608012
1.25,9.001977011595783e-05,50.75379845821394,243295.97086570444,42.931827249897665
1.25,9.791913760853445e-05,49.61444725819819,219014.39383285603,41.95524050702702
1.25,0.0001065116862401253,48.49880438881027,197156.17400735663,40.99897519040881
1.25,0.0001158582436772414,47.40637651231449,177479.4547690009,40.0626084391267
1.25,0.00012602497530377337,46.336680556654585,159766.51734427066,39.14572619141821
1.25,0.00013708385261355807,45.28924350183906,143821.37179374538,38.24792300157634
1.25,0.00014911316270508368,44.26360217077146,129467.58842450769,37.36880186066126
1.25,0.0001621980624851049,43.25930302443336,116546.345632577,36.507974020942875
