alpha,type,delta,D_true,D_stable,D_raw32,rel_stable,rel_raw32,rel_gap32
1.25,II,0.0005623413251903491,0.6929730337600181,0.692836455207332,0.6928723858569984,0.00019709071786683062,0.00014524072094632682,5.184999692050378e-05
1.25,II,0.0006812920690579609,0.6929730337600181,0.692815324707758,0.6928433800626403,0.0002275832457785174,0.00018709775281474885,4.048549296376852e-05
1.25,II,0.0008254041852680181,0.6929730337600181,0.6927909081305887,0.6928129240887377,0.00026281777292417837,0.00023104747729011302,3.177029563406537e-05
1.25,II,0.001,0.6929730337600181,0.69276272030848,0.6927798715379223,0.00030349442372520284,0.00027874421180240145,2.4750211922801375e-05
1.25,II,0.0012115276586285877,0.6929730337600181,0.6927301722289742,0.6927431429483669,0.0003504631770823264,0.00033174568194057393,1.871749514175248e-05
1.25,II,0.0014677992676220691,0.6929730337600181,0.6926925387263803,0.6927024990863077,0.0004047704888541797,0.0003903971158047948,1.4373373049384912e-05
1.25,II,0.0017782794100389228,0.6929730337600181,0.6926491507525124,0.6926567991895549,0.00046738183410726373,0.0004563446989376819,1.1037135169581846e-05
1.25,II,0.002154434690031882,0.6929730337600181,0.6925989902026275,0.692604946017078,0.000539766396624465,0.0005311718133429292,8.59458328153576e-06
1.25,II,0.0026101572156825357,0.6929730337600181,0.6925410707296162,0.6925456957024958,0.0006233475320937518,0.0006166734298498757,6.674102243876029e-06
1.25,II,0.0031622776601683794,0.6929730337600181,0.6924741385486249,0.6924777430451514,0.0007199345242716843,0.0007147330281803872,5.20149609129704e-06
1.25,II,0.003831186849557285,0.6929730337600181,0.6923968419754459,0.6923996550876489,0.0008314779313211672,0.0008274184483890597,4.0594829321074954e-06
1.25,II,0.004641588833612777,0.6929730337600181,0.6923075715099327,0.6923097762724307,0.0009603003546539181,0.0009571187553843881,3.181599269529944e-06
1.25,II,0.005623413251903491,0.6929730337600181,0.6922044611147127,0.692206166592262,0.001109094593674406,0.0011066334913425553,2.461102331850646e-06
1.25,II,0.006812920690579608,0.6929730337600181,0.6920853373422053,0.6920866411535084,0.0012809970584225336,0.0012791155836183001,1.881474804233622e-06
1.25,II,0.008254041852680182,0.6929730337600181,0.6919477111704092,0.6919487024898272,0.0014795995510035014,0.0014781690199875699,1.4305310159314153e-06
1.25,II,0.01,0.6929730337600181,0.6917886724461256,0.6917894349008168,0.0017091015900953343,0.0017080013240618583,1.100266033476189e-06
1.25,II,0.012115276586285877,0.6929730337600181,0.6916049208105877,0.6916055225920162,0.0019742657834852895,0.0019733973782238147,8.684052614749744e-07
1.25,II,0.014677992676220676,0.6929730337600181,0.6913924976230664,0.6913929780734721,0.0022808046777459305,0.002280111360138642,6.933176072887475e-07
1.25,II,0.01778279410038923,0.6929730337600181,0.6911469787013307,0.6911473563281219,0.0026351026226509103,0.0026345576854415625,5.449372093476675e-07
1.25,II,0.021544346900318822,0.6929730337600181,0.6908630787314808,0.6908633775925108,0.003044786630568909,0.0030443553568894515,4.3127367945782716e-07
1.25,II,0.026101572156825334,0.6929730337600181,0.6905347376403367,0.6905349792677027,0.0035186017361330444,0.0035182530539271967,3.486822058476996e-07
1.25,II,0.03162277660168379,0.6929730337600181,0.6901548848012788,0.6901550800984266,0.004066751260793167,0.0040664694357606295,2.818250325374435e-07
1.25,II,0.03831186849557285,0.6929730337600181,0.6897152268764533,0.6897153838862784,0.0047012029687334275,0.004700976394512654,2.265742207736522e-07
1.25,II,0.046415888336127725,0.6929730337600181,0.6892061475439129,0.689206274073438,0.005435833766382483,0.0054356511769900724,1.825893924098542e-07
1.25,II,0.05623413251903491,0.6929730337600181,0.6886162999629858,0.6886164013654766,0.006287017798359302,0.0062868714687246575,1.4632963464444584e-07
1.25,II,0.06812920690579609,0.6929730337600181,0.6879324173746032,0.6879324986258613,0.007273899762108881,0.007273782511863782,1.1725024509851872e-07
1.25,II,0.08254041852680173,0.6929730337600181,0.6871388142988083,0.6871388793003225,0.008419114708625447,0.008419020907696688,9.380092875839828e-08
1.25,II,0.1,0.6929730337600181,0.6862168895529496,0.6862169406900408,0.009749505215823734,0.009749431422055815,7.379376792009447e-08
1.5,I,1e-06,0.5661607368954616,0.5660546097774631,0.5660602665543005,0.00018745050845535237,0.00017745904054040717,9.991467914945209e-06
1.5,I,1.2115276586285875e-06,0.5661607368954616,0.5660449517122982,0.566050226973347,0.0002045093833217241,0.00019519178020128904,9.317603120435061e-06
1.5,I,1.4677992676220705e-06,0.5661607368954616,0.5660369799048892,0.5660419402588955,0.00021858985003278902,0.0002098284618208077,8.761388211981318e-06
1.5,I,1.778279410038923e-06,0.5661607368954616,0.5660274451587228,0.5660321056536193,0.00023543090866689332,0.00022719915645814319,8.231752208750135e-06
1.5,I,2.1544346900318822e-06,0.5661607368954616,0.5660084362095983,0.5660126986597509,0.0002690060895047225,0.000261477396900591,7.5286926041315055e-06
1.5,I,2.6101572156825386e-06,0.5661607368954616,0.5659927461434333,0.5659966800434632,0.0002967191842894499,0.00028977080413258583,6.9483801568640505e-06
1.5,I,3.162277660168379e-06,0.5661607368954616,0.5659797954971535,0.5659834582207657,0.00031959368871169896,0.00031312428281069974,6.469405900999207e-06
1.5,I,3.831186849557285e-06,0.5661607368954616,0.565959132777367,0.5659624950665048,0.00035608989630782557,0.00035015114266656616,5.938753641259405e-06
1.5,I,4.641588833612782e-06,0.5661607368954616,0.5659379571653104,0.5659410398344128,0.0003934920167245968,0.00038804715115632816,5.444865568268668e-06
1.5,I,5.623413251903491e-06,0.5661607368954616,0.5659194351987878,0.5659222759702098,0.0004262070485441598,0.00042118944270034387,5.017605843815926e-06
1.5,I,6.8129206905796085e-06,0.5661607368954616,0.5658910968914419,0.5658935993612672,0.0004762605148112415,0.00047184044527591505,4.42006953532644e-06
