alpha,a,rho_star,expected_exp_slope,M,type,weighted_integral_error,derivative_error
1.5,0.05,1.4378509575220022,-0.7262992165082307,21,Type-II,3.289356889091266e-07,1.7046803410563976e-07
1.5,0.05,1.4378509575220022,-0.7262992165082307,22,Type-I,3.9642611275425566e-05,1.369629026542593e-05
1.5,0.05,1.4378509575220022,-0.7262992165082307,22,Type-II,1.5934561825581284e-07,8.257946827691425e-08
1.5,0.05,1.4378509575220022,-0.7262992165082307,23,Type-I,2.0062555494249068e-05,6.931495546707051e-06
1.5,0.05,1.4378509575220022,-0.7262992165082307,23,Type-II,7.71811092814545e-08,3.999843255967548e-08
1.5,0.05,1.4378509575220022,-0.7262992165082307,24,Type-I,1.0133411242563284e-05,3.501034298492671e-06
1.5,0.05,1.4378509575220022,-0.7262992165082307,24,Type-II,3.7379311867979936e-08,1.9371500342477287e-08
1.5,0.05,1.4378509575220022,-0.7262992165082307,25,Type-I,5.109073022424582e-06,1.7651548384695262e-06
1.5,0.05,1.4378509575220022,-0.7262992165082307,25,Type-II,1.810121186274216e-08,9.380794195377828e-09
1.5,0.05,1.4378509575220022,-0.7262992165082307,26,Type-I,2.57162940364708e-06,8.884829135685256e-07
1.5,0.05,1.4378509575220022,-0.7262992165082307,26,Type-II,8.764803327565573e-09,4.542282406411198e-09
1.5,0.05,1.4378509575220022,-0.7262992165082307,27,Type-I,1.292439598898909e-06,4.465303199646526e-07
1.5,0.05,1.4378509575220022,-0.7262992165082307,27,Type-II,4.243695617134335e-09,2.1992580117855923e-09
1.5,0.05,1.4378509575220022,-0.7262992165082307,28,Type-I,6.486296655339174e-07,2.2409775461551762e-07
1.5,0.05,1.4378509575220022,-0.7262992165082307,28,Type-II,2.054512782123652e-09,1.0647332193566975e-09
1.5,0.05,1.4378509575220022,-0.7262992165082307,29,Type-I,3.2509647063250213e-07,1.1231892861730932e-07
1.5,0.05,1.4378509575220022,-0.7262992165082307,29,Type-II,9.945957391011007e-10,5.154405134228236e-10
1.5,0.05,1.4378509575220022,-0.7262992165082307,30,Type-I,1.627404966342283e-07,5.6225889469185444e-08
1.5,0.05,1.4378509575220022,-0.7262992165082307,30,Type-II,4.814382226214775e-10,2.4950113387139824e-10
1.5,0.05,1.4378509575220022,-0.7262992165082307,31,Type-I,8.137514484474195e-08,2.8114636456240854e-08
1.5,0.05,1.4378509575220022,-0.7262992165082307,31,Type-II,2.3316504282888673e-10,1.208357372379206e-10
1.5,0.05,1.4378509575220022,-0.7262992165082307,32,Type-I,4.064419556470966e-08,1.4042331777575991e-08
1.5,0.05,1.4378509575220022,-0.7262992165082307,32,Type-II,1.1274203792766002e-10,5.842757175522292e-11
1.5,0.05,1.4378509575220022,-0.7262992165082307,33,Type-I,2.0282096002688377e-08,7.007345507944794e-09
1.5,0.05,1.4378509575220022,-0.7262992165082307,33,Type-II,5.466294084044421e-11,2.83285893799068e-11
1.5,0.1,1.6666666666666665,-1.0216512475319812,2,Type-I,2.3238253520539773,0.8028680635278157
1.5,0.1,1.6666666666666665,-1.0216512475319812,2,Type-II,0.1261810071335584,0.06539219960856792
1.5,0.1,1.6666666666666665,-1.0216512475319812,3,Type-I,1.2655324541868165,0.437234058887646
1.5,0.1,1.6666666666666665,-1.0216512475319812,3,Type-II,0.04815516005501275,0.024955989098793988
1.5,0.1,1.6666666666666665,-1.0216512475319812,4,Type-I,0.6218596685246078,0.214848877267436
1.5,0.1,1.6666666666666665,-1.0216512475319812,4,Type-II,0.018067599205474627,0.00936337473072665
1.5,0.1,1.6666666666666665,-1.0216512475319812,5,Type-I,0.2848971275809724,0.09843029078041463
1.5,0.1,1.6666666666666665,-1.0216512475319812,5,Type-II,0.0066865686064767615,0.0034652555003646325
1.5,0.1,1.6666666666666665,-1.0216512475319812,6,Type-I,0.12451624925732396,0.043019635632519954
1.5,0.1,1.6666666666666665,-1.0216512475319812,6,Type-II,0.00245252870269419,0.0012710014772870505
1.5,0.1,1.6666666666666665,-1.0216512475319812,7,Type-I,0.05268337067134965,0.018201796341381048
1.5,0.1,1.6666666666666665,-1.0216512475319812,7,Type-II,0.0008945321853990329,0.0004635834548537608
1.5,0.1,1.6666666666666665,-1.0216512475319812,8,Type-I,0.021778903189955123,0.0075244836340321005
1.5,0.1,1.6666666666666665,-1.0216512475319812,8,Type-II,0.0003251235845533884,0.00016849244447751714
1.5,0.1,1.6666666666666665,-1.0216512475319812,9,Type-I,0.008848775870100134,0.0030572002931027226
1.5,0.1,1.6666666666666665,-1.0216512475319812,9,Type-II,0.00011789795820771332,6.109958219307145e-05
1.5,0.1,1.6666666666666665,-1.0216512475319812,10,Type-I,0.003547508475622685,0.0012256434235276134
1.5,0.1,1.6666666666666665,-1.0216512475319812,10,Type-II,4.2686469300168284e-05,2.2121888107193872e-05
1.5,0.1,1.6666666666666665,-1.0216512475319812,11,Type-I,0.001407144258552151,0.0004861601087919484
1.5,0.1,1.6666666666666665,-1.0216512475319812,11,Type-II,1.5438271515400004e-05,8.000748729781005e-06
1.5,0.1,1.6666666666666665,-1.0216512475319812,12,Type-I,0.00055332231338312,0.0001911696220458128
1.5,0.1,1.6666666666666665,-1.0216512475319812,12,Type-II,5.5790340611761025e-06,2.891285441756472e-06
1.5,0.1,1.6666666666666665,-1.0216512475319812,13,Type-I,0.0002160098189634141,7.463012868022191e-05
1.5,0.1,1.6666666666666665,-1.0216512475319812,13,Type-II,2.01491348894578e-06,1.044211233182465e-06
1.5,0.1,1.6666666666666665,-1.0216512475319812,14,Type-I,8.381222322206838e-05,2.895663277741023e-05
1.5,0.1,1.6666666666666665,-1.0216512475319812,14,Type-II,7.273608240154772e-07,3.7694836387799554e-07
1.5,0.1,1.6666666666666665,-1.0216512475319812,15,Type-I,3.234877663427227e-05,1.117631306969611e-05
1.5,0.1,1.6666666666666665,-1.0216512475319812,15,Type-II,2.624713113519306e-07,1.36023453714242e-07
1.5,0.1,1.6666666666666665,-1.0216512475319812,16,Type-I,1.2428736318348399e-05,4.294055683311278e-06
1.5,0.1,1.6666666666666665,-1.0216512475319812,16,Type-II,9.468549144742155e-08,4.906992500235348e-08
1.5,0.1,1.6666666666666665,-1.0216512475319812,17,Type-I,4.756198389799238e-06,1.643238717400623e-06
1.5,0.1,1.6666666666666665,-1.0216512475319812,17,Type-II,3.4149027383634234e-08,1.7697433756773082e-08
1.5,0.1,1.6666666666666665,-1.0216512475319812,18,Type-I,1.8136724619921551e-06,6.266132246755627e-07
1.5,0.1,1.6666666666666665,-1.0216512475319812,18,Type-II,1.2313579711431544e-08,6.381404624022801e-09
1.5,0.1,1.6666666666666665,-1.0216512475319812,19,Type-I,6.894329036555291e-07,2.3819503466602022e-07
1.5,0.1,1.6666666666666665,-1.0216512475319812,19,Type-II,4.439284717605574e-09,2.3006203466553535e-09
1.5,0.1,1.6666666666666665,-1.0216512475319812,20,Type-I,2.613374796567314e-07,9.029057025898485e-08
1.5,0.1,1.6666666666666665,-1.0216512475319812,20,Type-II,1.6002199565434694e-09,8.292999492795651e-10
1.5,0.1,1.6666666666666665,-1.0216512475319812,21,Type-I,9.881158025137893e-08,3.413882287686877e-08
1.5,0.1,1.6666666666666665,-1.0216512475319812,21,Type-II,5.767308852711039e-10,2.9888572002088564e-10
1.5,0.1,1.6666666666666665,-1.0216512475319812,22,Type-I,3.727493691485506e-08,1.2878272625995536e-08
1.5,0.1,1.6666666666666665,-1.0216512475319812,22,Type-II,2.0785728693795136e-10,1.0772021484307026e-10
1.5,0.1,1.6666666666666665,-1.0216512475319812,23,Type-I,1.4031751760512634e-08,4.847888140091227e-09
1.5,0.1,1.6666666666666665,-1.0216512475319812,23,Type-II,7.488254460952248e-11,3.880722159017446e-11
1.5,0.1,1.6666666666666665,-1.0216512475319812,24,Type-I,5.27197130395507e-09,1.8214352416972443e-09
1.5,0.1,1.6666666666666665,-1.0216512475319812,24,Type-II,2.6970203848009078e-11,1.3977071459304655e-11
1.5,0.1,1.6666666666666665,-1.0216512475319812,25,Type-I,1.9773764847741404e-09,6.831720067916609e-10
1.5,0.1,1.6666666666666665,-1.0216512475319812,25,Type-II,9.725997784926221e-12,5.040412998694767e-12
1.5,0.1,1.6666666666666665,-1.0216512475319812,26,Type-I,7.401741441981358e-10,2.5572583641040856e-10
1.5,0.1,1.6666666666666665,-1.0216512475319812,26,Type-II,3.4710012641880894e-12,1.7988159443768913e-12
1.5,0.1,1.6666666666666665,-1.0216512475319812,27,Type-I,2.767190920849316e-10,9.560482736236362e-11
1.5,0.1,1.6666666666666665,-1.0216512475319812,27,Type-II,1.2470025012589758e-12,6.462481028416467e-13
1.5,0.1,1.6666666666666665,-1.0216512475319812,28,Type-I,1.0314860077187404e-10,3.563723809283696e-11
1.5,0.1,1.6666666666666665,-1.0216512475319812,28,Type-II,4.2521541843143495e-13,2.203641589996e-13
1.5,0.1,1.6666666666666665,-1.0216512475319812,29,Type-I,3.836397866052721e-11,1.3254530177655313e-11
1.5,0.1,1.6666666666666665,-1.0216512475319812,29,Type-II,1.4144241333724494e-13,7.330128944268678e-14
1.5,0.1,1.6666666666666665,-1.0216512475319812,30,Type-I,1.4129142300589592e-11,4.8815360019016696e-12
1.5,0.1,1.6666666666666665,-1.0216512475319812,30,Type-II,2.90878432451791e-14,1.5074519492923027e-14
1.5,0.1,1.6666666666666665,-1.0216512475319812,31,Type-I,5.95523630408934e-12,2.057499301782166e-12
1.5,0.1,1.6666666666666665,-1.0216512475319812,31,Type-II,9.348077867343818e-14,4.8445593179546524e-14
1.5,0.1,1.6666666666666665,-1.0216512475319812,32,Type-I,1.5800694086465228e-12,5.459047364460064e-13
1.5,0.1,1.6666666666666665,-1.0216512475319812,32,Type-II,3.752553823233029e-14,1.9447280872549555e-14
1.5,0.1,1.6666666666666665,-1.0216512475319812,33,Type-I,1.098676705169055e-12,3.7958637379635187e-13
1.5,0.1,1.6666666666666665,-1.0216512475319812,33,Type-II,4.884981308350689e-14,2.5315986934679893e-14
1.5,0.2,2.0441269193127067,-1.4299415280218901,2,Type-I,0.6367879548090927,0.2200065128403587
1.5,0.2,2.0441269193127067,-1.4299415280218901,2,Type-II,0.045501385252669,0.023580693596457668
1.5,0.2,2.0441269193127067,-1.4299415280218901,3,Type-I,0.22966032343429443,0.07934629811224338
1.5,0.2,2.0441269193127067,-1.4299415280218901,3,Type-II,0.01152576466170474,0.0059731263882036815
1.5,0.2,2.0441269193127067,-1.4299415280218901,4,Type-I,0.07375255773113265,0.025481077204653244
1.5,0.2,2.0441269193127067,-1.4299415280218901,4,Type-II,0.002849233578903654,0.0014765902979827308
1.5,0.2,2.0441269193127067,-1.4299415280218901,5,Type-I,0.022113805503249928,0.007640190423919872
1.5,0.2,2.0441269193127067,-1.4299415280218901,5,Type-II,0.0006952222933329644,0.00036029285239287575
1.5,0.2,2.0441269193127067,-1.4299415280218901,6,Type-I,0.00635175538373467,0.0021944943239533858
1.5,0.2,2.0441269193127067,-1.4299415280218901,6,Type-II,0.00016848348992903883,8.731509007949338e-05
1.5,0.2,2.0441269193127067,-1.4299415280218901,7,Type-I,0.0017723126193045502,0.0006123236410039404
1.5,0.2,2.0441269193127067,-1.4299415280218901,7,Type-II,4.0676594536659394e-05,2.1080288149250264e-05
1.5,0.2,2.0441269193127067,-1.4299415280218901,8,Type-I,0.00048431983956209734,0.00016732967104160048
1.5,0.2,2.0441269193127067,-1.4299415280218901,8,Type-II,9.79807093914875e-06,5.0777642783715105e-06
1.5,0.2,2.0441269193127067,-1.4299415280218901,9,Type-I,0.00013028039836582295,4.501111542618676e-05
1.5,0.2,2.0441269193127067,-1.4299415280218901,9,Type-II,2.3566468240199256e-06,1.2213115351036324e-06
1.5,0.2,2.0441269193127067,-1.4299415280218901,10,Type-I,3.461442304431017e-05,1.1959080649134938e-05
1.5,0.2,2.0441269193127067,-1.4299415280218901,10,Type-II,5.662487981838993e-07,2.934534703765683e-07
1.5,0.2,2.0441269193127067,-1.4299415280218901,11,Type-I,9.105524107155816e-06,3.14590530689254e-06
1.5,0.2,2.0441269193127067,-1.4299415280218901,11,Type-II,1.3595740111504995e-07,7.045872999386607e-08
1.5,0.2,2.0441269193127067,-1.4299415280218901,12,Type-I,2.3756539424546474e-06,8.207745382865934e-07
1.5,0.2,2.0441269193127067,-1.4299415280218901,12,Type-II,3.262586956154223e-08,1.6908070582391652e-08
1.5,0.2,2.0441269193127067,-1.4299415280218901,13,Type-I,6.155544927111123e-07,2.1267047591248513e-07
1.5,0.2,2.0441269193127067,-1.4299415280218901,13,Type-II,7.826016057421725e-09,4.0557641422619e-09
1.5,0.2,2.0441269193127067,-1.4299415280218901,14,Type-I,1.5856242985279323e-07,5.478239184009909e-08
1.5,0.2,2.0441269193127067,-1.4299415280218901,14,Type-II,1.8766280751592035e-09,9.725460310517376e-10
1.5,0.2,2.0441269193127067,-1.4299415280218901,15,Type-I,4.063842995449818e-08,1.4040339792979792e-08
1.5,0.2,2.0441269193127067,-1.4299415280218901,15,Type-II,4.498870165292601e-10,2.3314999820096004e-10
1.5,0.2,2.0441269193127067,-1.4299415280218901,16,Type-I,1.0369581637803549e-08,3.5826297883265154e-09
1.5,0.2,2.0441269193127067,-1.4299415280218901,16,Type-II,1.0783485215881683e-10,5.588446579496644e-11
1.5,0.2,2.0441269193127067,-1.4299415280218901,17,Type-I,2.6357875881899417e-09,9.106491909687867e-10
1.5,0.2,2.0441269193127067,-1.4299415280218901,17,Type-II,2.585198721760662e-11,1.3397565503836254e-11
1.5,0.2,2.0441269193127067,-1.4299415280218901,18,Type-I,6.67667698905916e-10,2.3067528376298317e-10
1.5,0.2,2.0441269193127067,-1.4299415280218901,18,Type-II,6.1950444774083735e-12,3.21052743398895e-12
1.5,0.2,2.0441269193127067,-1.4299415280218901,19,Type-I,1.684958839121009e-10,5.821434210163219e-11
1.5,0.2,2.0441269193127067,-1.4299415280218901,19,Type-II,1.467936883159382e-12,7.607454073871308e-13
1.5,0.2,2.0441269193127067,-1.4299415280218901,20,Type-I,4.239320006149683e-11,1.4646602598615015e-11
1.5,0.2,2.0441269193127067,-1.4299415280218901,20,Type-II,3.4705571749782393e-13,1.7985857990411216e-13
1.5,0.2,2.0441269193127067,-1.4299415280218901,21,Type-I,1.0536016503692736e-11,3.640132060759276e-12
