alpha,exact,cutoff_mass_mc2,MC-I,MC-II,GJ-I,GJ-II,MC-I_rel_err,MC-II_rel_err,GJ-I_rel_err,GJ-II_rel_err
1.2475757575757576,0.6939997085422323,3.985978674487223e-06,0.6945436873722695,0.6941999819332486,0.6939997085422386,0.6939997085422651,0.0007838314963847038,0.00028857849441614236,9.118550285354039e-15,4.735247165727712e-14
1.2574747474747474,0.6897817326132938,4.694301999581012e-06,0.6895723646309224,0.6897045098291162,0.6897817326132973,0.6897817326136796,0.0003035278733435855,0.00011195249239926866,5.150489656113041e-15,5.593109860935255e-13
1.2673737373737373,0.685495794652577,5.528497029930843e-06,0.686154765092034,0.6857388953769886,0.6854957946525719,0.6854957946524132,0.0009613048607992281,0.0003546348880736616,7.450119976102935e-15,2.3905167575495507e-13
1.2772727272727273,0.6811421844125968,6.510931638544403e-06,0.6812833930093924,0.6811937887693998,0.6811421844125939,0.6811421844123067,0.00020731148360374663,7.576150469607533e-05,4.237852140246952e-15,4.2590414009481863e-13
1.2871717171717172,0.6767212086116475,7.667948553158332e-06,0.6771287863813155,0.6768797097497098,0.6767212086116562,0.6767212086138081,0.0006022831329671403,0.000234219256091353,1.2796613260935667e-14,3.192755008603449e-12
1.297070707070707,0.672233191056481,9.030571702796718e-06,0.6717660140416793,0.6720491938136754,0.6722331910564788,0.6722331910562054,0.0006949627317084504,0.0002737104404446772,3.303088985773913e-15,4.100784975838313e-13
1.306969696969697,0.6676784727616323,1.0635338084755784e-05,0.6680997778081529,0.6678367583691929,0.6676784727616415,0.6676784727636014,0.0006309998954706656,0.00023706861014388686,1.3801330251482575e-14,2.949161365545722e-12
1.3168686868686867,0.6630574120653091,1.2525277457464533e-05,0.6630897842149154,0.6630739233771445,0.6630574120653093,0.6630574120644025,4.8822543896222956e-05,2.490178306583333e-05,3.348799076589775e-16,1.367314662971605e-12
1.3267676767676768,0.6583703847417478,1.4751066128432552e-05,0.658458798169038,0.6584018621255269,0.6583703847417494,0.6583703847432986,0.00013429131889770244,4.78110566765748e-05,2.360847739354062e-15,2.355451515949824e-12
1.3366666666666667,0.6536177841099361,1.7372385774633083e-05,0.6538565408776669,0.6537102817945843,0.6536177841099398,0.6536177841125896,0.00036528499305737446,0.00014151647476087328,5.605318689809073e-15,4.059779454700808e-12
1.3465656565656565,0.6488000211386148,2.045952373035312e-05,0.6487520792116687,0.6487862080974601,0.6488000211386231,0.6488000211374317,7.389322654766693e-05,2.12901367210549e-05,1.283395871361986e-14,1.8234488540311096e-12
1.3564646464646466,0.64391752454746,2.4095257652181914e-05,0.6441957575401742,0.6440306353628844,0.6439175245474686,0.6439175245549963,0.0004320941457677727,0.00017566040853433116,1.3448522927159368e-14,1.1703835702801347e-11
1.3663636363636362,0.6389707409043474,2.8377075096019663e-05,0.6392171074394042,0.6390666836849986,0.6389707409043608,0.6389707409053749,0.000385567787827253,0.00015015207193288965,2.1023965164588644e-14,1.6080727074237016e-12
1.3762626262626263,0.6339601347186058,3.341978752122728e-05,0.6348668332432019,0.6343090718892339,0.6339601347185913,0.6339601347279233,0.0014302137862321292,0.0005504086953085752,2.2941381998798904e-14,1.4697370108772505e-11
1.3861616161616162,0.6288861885301662,3.935860881309205e-05,0.6287666434895888,0.628814064720599,0.6288861885301864,0.6288861885290313,0.00019009010335690443,0.00011468499528633943,3.21299138329043e-14,1.8045713142854274e-12
1.396060606060606,0.6237494029945004,4.635278087025729e-05,0.6237720637968209,0.6237606800024513,0.62374940299453,0.623749403005412,3.6329978372252325e-05,1.8079388768558633e-05,4.734582881082059e-14,1.749357177824767e-11
1.405959595959596,0.6185502969632656,5.458984347260275e-05,0.618209611628261,0.618410632332032,0.6185502969632598,0.6185502969566047,0.0005507803272864065,0.00022579349152248345,9.333371524342943e-15,1.07685568841246e-11
1.415858585858586,0.6132894075605475,6.429066292062396e-05,0.612285700657662,0.6128709637501002,0.6132894075605247,0.6132894075759545,0.0016365958559074664,0.000682294207740739,3.711065562887412e-14,2.5121922557275014e-11
1.4257575757575758,0.6079672902546095,7.571535428284724e-05,0.6077896611879888,0.607872720650194,0.6079672902546045,0.6079672902696163,0.00029216878846603236,0.00015555048097381407,8.217553297515294e-15,2.4683521370485442e-11
1.4356565656565656,0.6025845189250526,8.9170256048768e-05,0.6023054342682604,0.6024538615552151,0.6025845189250619,0.6025845189469246,0.0004631460783128297,0.00021682828837124286,1.5476457017992584e-14,3.629689779559082e-11
1.4455555555555555,0.5971416859252837,0.00010501614420371489,0.597125834411951,0.5971237781365997,0.597141685925289,0.5971416859477862,2.6545648556018288e-05,2.998917862566853e-05,8.924298275949774e-15,3.768359316172092e-11
1.4554545454545456,0.5916394021402053,0.0001236779059755526,0.5915706844080693,0.5916107549429863,0.59163940214016,0.5916394021472787,0.000116147998066785,4.84200293545821e-05,7.656200591246624e-14,1.1955682648762375e-11
1.4653535353535354,0.5860782970390169,0.0001456559326423687,0.5854313459869843,0.5857802339674484,0.5860782970389734,0.5860782970702454,0.0011038645438691918,0.0005085721021822806,7.425755702809932e-14,5.328377525107349e-11
